sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-20-PASCGR-10A	TARGET-20-PASCGR-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.9668238	14.815892
TARGET-20-PASJGZ-04A	TARGET-20-PASJGZ-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.8589907	14.837109
TARGET-20-PADZCG-09A	TARGET-20-PADZCG-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.4009676	14.849108
TARGET-21-PARNAW-15A	TARGET-21-PARNAW-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	1.4200842	15.392248
TARGET-20-PARNZW-14A	TARGET-20-PARNZW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.4423165	14.666337
TARGET-20-PARFIW-14A	TARGET-20-PARFIW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.356939	13.474922
TARGET-20-PANLLX-14A	TARGET-20-PANLLX-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.8542073	14.875174
TARGET-20-PABLDZ-09A	TARGET-20-PABLDZ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.2319837	14.844217
TARGET-20-PARDMG-10A	TARGET-20-PARDMG-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.3797317	14.2480345
TARGET-20-PANTWV-04A	TARGET-20-PANTWV-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.67755663	13.988469
TARGET-21-PARZIA-14A	TARGET-21-PARZIA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.4137557	13.99782
TARGET-20-PAKERZ-14A	TARGET-20-PAKERZ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.10347	14.686722
TARGET-20-PASIEP-09A	TARGET-20-PASIEP-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.7085907	14.904989
TARGET-21-PATKKJ-15A	TARGET-21-PATKKJ-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	1.4720757	15.341021
TARGET-20-PASCFW-14A	TARGET-20-PASCFW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.240626	13.569168
TARGET-20-PARIMT-14A	TARGET-20-PARIMT-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.627959	14.715991
TARGET-20-PANLIR-09A	TARGET-20-PANLIR-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.8171053	15.062274
TARGET-20-PARBTC-14A	TARGET-20-PARBTC-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.9763205	14.6733
TARGET-21-PARLSL-09A	TARGET-21-PARLSL-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.86491036	13.927575
TARGET-20-PANLIR-14A	TARGET-20-PANLIR-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.151066	13.632361
TARGET-21-PASYEJ-14A	TARGET-21-PASYEJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.7097314	13.993271
TARGET-21-PASIGA-14A	TARGET-21-PASIGA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.30572897	13.757035
TARGET-21-PASTZK-14A	TARGET-21-PASTZK-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.20216559	13.8314705
TARGET-20-PASCFW-09A	TARGET-20-PASCFW-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.1205053	14.450476
TARGET-20-PAKSMZ-03A	TARGET-20-PAKSMZ-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.6838672	15.000717
TARGET-21-PATKKJ-14A	TARGET-21-PATKKJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.024469148	14.117197
TARGET-20-PARSHM-14A	TARGET-20-PARSHM-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.3285117	13.499322
TARGET-21-PAMYMA-14A	TARGET-21-PAMYMA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.2001117	14.236885
TARGET-20-PANLXM-14A	TARGET-20-PANLXM-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.1277285	13.668819
TARGET-20-PANDER-09A	TARGET-20-PANDER-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.3475192	14.278579
TARGET-20-PASJGZ-03A	TARGET-20-PASJGZ-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.9889574	14.28057
TARGET-20-PATKJB-09A	TARGET-20-PATKJB-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.819494	14.557383
TARGET-20-PANYNR-04A	TARGET-20-PANYNR-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.6197996	14.71712
TARGET-20-PARUDL-03A	TARGET-20-PARUDL-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.6922677	14.442581
TARGET-21-PASDKZ-15A	TARGET-21-PASDKZ-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	1.4459295	15.373284
TARGET-20-PATIAK-09A	TARGET-20-PATIAK-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.31465173	13.857601
TARGET-20-PAECCE-04A	TARGET-20-PAECCE-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.1029205	14.853791
TARGET-20-PATJHJ-14A	TARGET-20-PATJHJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.6586294	14.682033
TARGET-20-PAKSMZ-10A	TARGET-20-PAKSMZ-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.7675996	14.95416
TARGET-20-PASGMZ-14A	TARGET-20-PASGMZ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.793079	14.8806925
TARGET-20-PATIAK-14A	TARGET-20-PATIAK-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.6085367	14.633968
TARGET-21-PANZLR-15A	TARGET-21-PANZLR-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	1.4643954	15.403043
TARGET-20-PANNHB-04A	TARGET-20-PANNHB-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.3541474	13.472077
TARGET-21-PASHMK-14A	TARGET-21-PASHMK-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.6540736	13.353858
TARGET-21-PATKKJ-09A	TARGET-21-PATKKJ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	0.054607075	14.109197
TARGET-20-PALGKX-04A	TARGET-20-PALGKX-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.3323152	13.930041
TARGET-20-PARSAN-14A	TARGET-20-PARSAN-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.23133	14.307496
TARGET-20-PABLDZ-04A	TARGET-20-PABLDZ-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.4199576	14.801202
TARGET-20-PAKIWK-09A	TARGET-20-PAKIWK-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.2158604	13.571856
TARGET-21-PASDXR-14A	TARGET-21-PASDXR-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.2244276	13.846617
TARGET-20-PARUBT-09A	TARGET-20-PARUBT-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.8902614	14.857326
TARGET-20-PARBIU-09A	TARGET-20-PARBIU-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.0049633	14.115295
TARGET-20-PASCGR-04A	TARGET-20-PASCGR-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.5136404	13.36437
TARGET-20-PATKJB-14A	TARGET-20-PATKJB-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.4954724	13.377914
TARGET-20-PARFXF-09A	TARGET-20-PARFXF-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.476804	13.387034
TARGET-21-PAMYMA-09A	TARGET-21-PAMYMA-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.27109405	14.230615
TARGET-21-PANVPB-09A	TARGET-21-PANVPB-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.7815148	14.232774
TARGET-20-PASHHH-09A	TARGET-20-PASHHH-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.670267	14.792423
