sample_id	original_column	file_project	platform	source_file	missing_fraction
TARGET-20-SJAML045739-09A	TARGET-20-SJAML045739-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-00-SJNORM018231-17A.5	TARGET-00-SJNORM018231-17A.5.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PANYHW-09A	TARGET-10-PANYHW-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-00-SJNORM016096-14A.4	TARGET-00-SJNORM016096-14A.4.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PAPGMC-09A	TARGET-10-PAPGMC-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012427-09A	TARGET-15-SJMPAL012427-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-20-SJAML016570-09A	TARGET-20-SJAML016570-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PATGYH-09A	TARGET-10-PATGYH-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PATBGC-09A	TARGET-10-PATBGC-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-20-SJAML003322-09A	TARGET-20-SJAML003322-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-20-SJAML045736-09A	TARGET-20-SJAML045736-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PAPDCR-09A	TARGET-10-PAPDCR-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012422-09A	TARGET-15-SJMPAL012422-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-20-SJAML045735-09A	TARGET-20-SJAML045735-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL040037-09A	TARGET-15-SJMPAL040037-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL016343-04A.2	TARGET-15-SJMPAL016343-04A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PASJYI-09A	TARGET-10-PASJYI-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL043771-09A	TARGET-15-SJMPAL043771-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PATGWP-09A	TARGET-10-PATGWP-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PARTPW-09A	TARGET-10-PARTPW-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012418-09A.2	TARGET-15-SJMPAL012418-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
