sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-20-SJAML045739-09A	TARGET-20-SJAML045739-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.242087	2.8704565
TARGET-00-SJNORM018231-17A.5	TARGET-00-SJNORM018231-17A.5.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.492075	1.8119742
TARGET-10-PANYHW-09A	TARGET-10-PANYHW-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.572845	2.528538
TARGET-00-SJNORM016096-14A.4	TARGET-00-SJNORM016096-14A.4.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.835068	2.1424518
TARGET-10-PAPGMC-09A	TARGET-10-PAPGMC-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.710237	2.2371054
TARGET-15-SJMPAL012427-09A	TARGET-15-SJMPAL012427-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.021628	1.8676088
TARGET-20-SJAML016570-09A	TARGET-20-SJAML016570-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.056941	2.8845139
TARGET-10-PATGYH-09A	TARGET-10-PATGYH-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.481616	3.6152873
TARGET-10-PATBGC-09A	TARGET-10-PATBGC-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.881332	2.266854
TARGET-20-SJAML003322-09A	TARGET-20-SJAML003322-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.725771	2.36077
TARGET-20-SJAML045736-09A	TARGET-20-SJAML045736-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.472463	2.4032013
TARGET-10-PAPDCR-09A	TARGET-10-PAPDCR-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.88499	2.6018627
TARGET-15-SJMPAL012422-09A	TARGET-15-SJMPAL012422-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.177692	1.8625708
TARGET-20-SJAML045735-09A	TARGET-20-SJAML045735-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.732537	3.1225617
TARGET-15-SJMPAL040037-09A	TARGET-15-SJMPAL040037-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.147925	3.1043308
TARGET-15-SJMPAL016343-04A.2	TARGET-15-SJMPAL016343-04A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.505699	1.7240486
TARGET-10-PASJYI-09A	TARGET-10-PASJYI-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.55398	3.1941137
TARGET-15-SJMPAL043771-09A	TARGET-15-SJMPAL043771-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.097214	2.195953
