sample_id	input_file	UMAP1	UMAP2
SJACT001_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.583717	-10.599348
SJACT002_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.635956	-10.650526
SJACT003_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.521285	-10.539989
SJACT004_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.599899	-10.614115
SJACT005_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.563142	-10.578337
SJACT006_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.385089	-10.4420595
SJACT007_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.680318	-10.695322
SJACT008_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.392968	-10.419692
SJACT060_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.582844	-10.59858
SJACT061_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.462228	-10.482889
SJACT062_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.650149	-10.665358
SJACT063_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.70793	-10.723139
SJACT064_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.510931	-10.530228
SJACT065_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.41878	-10.449171
SJACT066_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.631256	-10.646608
SJACT067_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.783535	-10.79842
SJACT068_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.7372	-10.75226
SJACT069_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.73343	-10.748522
SJACT070_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.735231	-10.750172
SJACT071_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	15.536975	-10.554561
SJAMLM7001_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.41316423	-0.40497914
SJAMLM7003_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.8666514	-0.068137385
SJAMLM7004_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-1.0998969	-0.076176904
SJAMLM7005_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.48854706	-1.9171867
SJAMLM7006_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.45229092	-1.8693323
SJAMLM7007_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.4647678	-1.8768684
SJAMLM7008_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.3767376	-0.39352763
SJAMLM7009_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-1.1317917	-0.1676996
SJAMLM7010472_R1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.40652493	-0.7316627
SJAMLM7010475_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-1.0568625	-0.033875357
SJAMLM7010478_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.4826465	-1.8923303
SJAMLM7010479_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.5329741	-0.5779834
SJAMLM7010482_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.5462905	-0.6298873
SJAMLM7010483_G2	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-2.661392	1.1303743
SJAMLM7010483_G3	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-2.6600485	1.0950645
SJAMLM7010483_G4	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-2.6865609	1.1988776
SJAMLM7010483_G5	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-2.6358263	1.16537
SJAMLM7010483_R1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.033936884	-0.7379748
SJAMLM7010947_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.17635557	0.47821
SJAMLM7010948_R1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.47552192	-1.9403697
SJAMLM7010949_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.08126169	-0.5990217
SJAMLM7010949_R1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.09983019	-0.43832338
SJAMLM7010949_R2	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.12747297	-0.54860365
SJAMLM7010950_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.17068443	1.565621
SJAMLM7010951_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.4308211	-0.488914
