sample_id	batch	source_group	input_file	diagnosis	UMAP1	UMAP2
TARGET-10-PAKSWW-03A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.844671	17.054222
TARGET-10-PAMXHJ-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.979882	17.1195
TARGET-10-PAMXSP-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.944132	17.1621
TARGET-10-PANATY-09B-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	9.401781	16.112043
TARGET-10-PANCVR-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.2849865	17.696812
TARGET-10-PANCVR-04A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.065812	18.059265
TARGET-10-PANDBX-09B-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	9.497211	16.210648
TARGET-10-PANDWE-03A-02R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.61033	17.271942
TARGET-10-PANEUH-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	11.035926	17.148508
TARGET-10-PANFNZ-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.622433	16.679974
TARGET-10-PANGIF-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	9.958005	18.173128
TARGET-10-PANIEU-03A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.490536	17.316912
TARGET-10-PANJPG-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.620231	16.672134
TARGET-10-PANJWJ-09A-01R	Batch01	Batch	WU-TARGET-Batch01-STRANDED_RSEM_gene_count.2021-08-03_08-38-51.txt	ALL	10.768353	17.421883
