cpg_id	beta_variance	n_observed
cg18005972	0.23892419883066404	1560
cg11709150	0.23804635610671956	1560
cg19602374	0.23787672497680099	1560
cg10925417	0.2376776776847444	1560
cg03633073	0.23766635076073778	1560
cg04821387	0.23761070095472875	1560
cg02761960	0.23759863303183787	1560
cg11229315	0.23757187302011162	1560
cg15013257	0.23751731470195955	1560
cg20024953	0.2374128711352686	1560
cg03620623	0.23739687352246022	1560
cg02360155	0.23737286908046912	1560
cg03015899	0.23732207850326234	1560
cg01923549	0.2372020871884624	1560
cg24247425	0.23714238202494295	1560
cg25675027	0.23712233990245038	1560
cg18764372	0.2370450474798442	1560
cg08940097	0.23697593632793795	1560
cg15876513	0.23692457057861654	1560
cg27598661	0.23691814607350814	1560
cg26751440	0.23688119664128737	1560
cg06962421	0.23681018470921	1560
cg14839905	0.23674728081535043	1560
cg04296903	0.23674383114732098	1560
cg10444066	0.23673741729201078	1560
cg05059458	0.23672241483229167	1560
cg10632969	0.2367166203590418	1560
cg17129028	0.23669355075973456	1560
cg07569018	0.23667463888460097	1560
cg25216538	0.23667205382769504	1560
cg16706374	0.2366428965864836	1560
cg25007781	0.23651177493425737	1560
cg12577695	0.2365047622607176	1560
cg25837207	0.23647138166318274	1560
cg20636319	0.23645046785686719	1560
cg24232053	0.2364172866959316	1560
cg02667487	0.23639725232153785	1560
cg27198114	0.2363871541686574	1560
cg06785624	0.23635761371062405	1560
cg07341141	0.23633434509796852	1560
cg23192255	0.236321260450996	1560
cg03465880	0.23632093533984344	1560
cg02513392	0.2363164271612211	1560
cg26961332	0.23630572041120967	1560
cg17026072	0.23629116654370647	1560
cg23080013	0.23626767890763123	1560
cg22158723	0.2362609830001594	1560
cg17086759	0.2362426421516869	1560
cg06530270	0.23621404079264052	1560
cg26709693	0.2361943385173364	1560
cg10782633	0.23617980491213306	1560
cg22795216	0.23616591354033822	1560
cg25473203	0.23616133967745917	1560
cg15369608	0.23613535433257132	1560
